"","tweet","date","lat","lon","isretweet","retweeted","retweetcount","favoritecount","favorited","score"
"1","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:23:08",NA,NA,"TRUE","FALSE","700","0","FALSE",-2
"2","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:23:08",NA,NA,"TRUE","FALSE","700","0","FALSE",-2
"3","#NCAA to boycott #NorthCarolina, citing #Charlotte human rights violations. Maybe time to rethink games in #Cuba?
https://t.co/ifcs8YGr7C","2016-09-23 19:22:01",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"4","RT @TransgenderSoul: Matt Bomer and Men Who Play Transgender Women Send a ""Toxic and Dangerous"" Message  https://t.co/bSgly3Funq https://t.…","2016-09-23 16:19:47",NA,NA,"TRUE","FALSE","2","0","FALSE",-2
"5","#NCAA to boycott #NorthCarolina, citing #Charlotte human rights violations. Maybe time to rethink games in #Cuba?
https://t.co/ifcs8YGr7C","2016-09-23 19:22:01",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"6","RT@MailOnlineThe baby born to a man who was a woman who got pregnant by a woman who was a man… https://t.co/DfnwLu2EMO","2016-09-23 19:16:46",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"7","Why is this news? A transgender couple had a baby. You KNEW the comments that would happen from this article. Stop. https://t.co/AnIDPr4Mbv","2016-09-23 19:13:25",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"8","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:23:49",NA,NA,"TRUE","FALSE","701","0","FALSE",-2
"9","RT @SPINDLER666: Transgender couple has child** https://t.co/Hxg9fgtsb9","2016-09-23 19:23:37",NA,NA,"TRUE","FALSE","100","0","FALSE",0
"10","Attitude to us when even transgender males stick to the ladies line w/o complaint.","2016-09-23 19:19:38",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"11","National News - Target Ignoring Calls to End Transgender Bathroom Policy After 2 Men Caught Videotaping Women... https://t.co/XSZ4MMnbEk","2016-09-23 17:56:28",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"12","They out here killing my transgender sisters EVERYDAY but they not talking about that","2016-09-23 19:22:35",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"13","This is so ignorant. You could've said a transgender couple had a child. https://t.co/Ybc5Fd6Gck","2016-09-23 19:23:31",NA,NA,"FALSE","FALSE","1","0","FALSE",-1
"14","RT @TransgenderSoul: Matt Bomer and Men Who Play Transgender Women Send a ""Toxic and Dangerous"" Message  https://t.co/bSgly3Funq https://t.…","2016-09-23 16:19:47",NA,NA,"TRUE","FALSE","2","0","FALSE",-2
"15","RT @RSOL_Michigan: Chelsea Manning sentenced to 14 days in solitary confinement following suicide attempt-Brilliant BOP, just brilliant htt…","2016-09-23 17:59:52",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"16","Transgender former Navy SEAL says TSA humiliated her https://t.co/lhp3DHnuEZ","2016-09-22 10:45:48",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"17","This is so ignorant. You could've said a transgender couple had a child. https://t.co/Ybc5Fd6Gck","2016-09-23 19:23:31",NA,NA,"FALSE","FALSE","2","1","FALSE",-1
"18","""transgender couple has child"" would be a better title https://t.co/BKO6YIFwax","2016-09-23 19:08:51",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"19","RT @antoniodelotero: how about you just say ""transgender couple has a child"" https://t.co/ZVzyl1MQzf","2016-09-23 19:24:36",NA,NA,"TRUE","FALSE","233","0","FALSE",0
"20","Conservative activists launch petition against @NCAA over transgender bathroom dispute
https://t.co/x9XCrzdOrl https://t.co/avxSuv4awW","2016-09-23 19:20:09",NA,NA,"FALSE","FALSE","0","1","FALSE",-1
"21","They out here killing my transgender sisters EVERYDAY but they not talking about that","2016-09-23 19:22:35",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"22","This is so ignorant. You could've said a transgender couple had a child. https://t.co/Ybc5Fd6Gck","2016-09-23 19:23:31",NA,NA,"FALSE","FALSE","2","1","FALSE",-1
"23","Fighting back and winning on the transgender bathroom issue. https://t.co/dAfjmHksAT. It always seems to be the people against the insiders.","2016-09-23 19:10:21",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"24","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:25:09",NA,NA,"TRUE","FALSE","707","0","FALSE",-2
"25","Is the Transgender Bathroom Law Debate Affecting Businesses? You Bet https://t.co/kZkeqXLJee (via @InsideCounsel) #idleg","2016-09-23 18:34:51",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"26","7 Hottest Transgender People Who Are Ruling Modeling Industry https://t.co/mf8NJSB4aZ","2016-09-23 19:20:11",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"27","RT @margar45: Will this Mississippi murder be the first federal hate crime with a transgender victim?, @sunherald https://t.co/xGatKIrt9D","2016-09-23 19:21:16",NA,NA,"TRUE","FALSE","3","0","FALSE",-3
"28","BBC News - The transgender family where the father gives birth https://t.co/dyAsTEJJ5I","2016-09-23 06:46:24",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"29","RT @mnmsba: Federal court orders Wisconsin district to accommodate transgender student https://t.co/ECbPZv5NBD","2016-09-23 17:52:13",NA,NA,"TRUE","FALSE","3","0","FALSE",0
"30","The homecoming king at my school is transgender and its so beautiful","2016-09-23 19:10:19",NA,NA,"FALSE","FALSE","1","1","FALSE",1
"31","Why is this news? A transgender couple had a baby. You KNEW the comments that would happen from this article. Stop. https://t.co/AnIDPr4Mbv","2016-09-23 19:13:25",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"32","RT @_amandaadams: @blkem0 @DammitMarkus transgender women are women.. no one is discrediting their womanhood or femininity but female is th…","2016-09-23 19:19:52",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"33","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:22:39",NA,NA,"TRUE","FALSE","698","0","FALSE",-2
"34","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:22:39",NA,NA,"TRUE","FALSE","700","0","FALSE",-2
"35","Transgender couple has a child**** https://t.co/MJEInIAIJi","2016-09-23 19:19:54",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"36","@j_petram you really need to read the Bible, but first understand what transgender is, and other words that are associate with it. And pray!","2016-09-23 15:45:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"37","Transgender couple has a child**** https://t.co/MJEInIAIJi","2016-09-23 19:19:54",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"38","Yall support gays, but you know damn well that if you son comes at you saying he wants to be a transgender, u going to be sad as hell","2016-09-23 19:15:29",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"39","They could've just said ""transgender couple has a child"" lmaoooo","2016-09-23 18:55:24",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"40","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:23:28",NA,NA,"TRUE","FALSE","701","0","FALSE",-2
"41","RT @SPINDLER666: Transgender couple has child** https://t.co/Hxg9fgtsb9","2016-09-23 19:23:21",NA,NA,"TRUE","FALSE","100","0","FALSE",0
